,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class
I50_2,0.020258659864509546,-0.32860555031633315,0.3224625655213525,0.43572049659460343,0.49196724337760545,0.4810385153630975,0.44079377670692355,0.44531074699416723,0.8657114087357491,0.7691531655419059,1.0,0.9787597547062875,0.11366739607601618,0.11777158235903198,0.07747425625732411,0.01096104357525972,-0.18895368309659183,0.803434249638907,0.1368867622869033,0.5591920602522485,0.26542071439207354
I80_2,-0.025310186063405092,-0.3456171648598058,0.3286539931159842,0.42754553357682384,0.49811568111714627,0.48993024775559696,0.4478692513372212,0.46694597277639766,0.8543269347006066,0.7481818621224733,0.9787597547062875,1.0,0.11330908834778979,0.12359912778800954,0.09581367113578736,0.02082158997309395,-0.1841596315168734,0.8070541093718089,0.12905661656417972,0.5401490559182459,0.26198933516465456
ave_util_allowed,0.05348598155009575,-0.08101484500270018,0.0284393956486756,-0.02500464280837201,-0.038632722323005776,-0.05341754925724272,-0.051998909733186036,-0.0252104994966273,0.14820346665894094,0.026920135087937877,0.11366739607601618,0.11330908834778979,1.0,0.16119998718704626,0.21788147135419622,0.001966940237889527,-0.016138676625230705,0.04741335086124719,-0.6562525336084615,0.13790651480159152,-0.03921288934204804
hh_income,0.06596288740709232,-0.02403010557840131,0.12090941815572592,0.038727795032471216,0.1465156659846046,0.12415282944574867,0.13143023986084465,0.12420231367311452,0.1396534510676339,0.06305305783627728,0.11777158235903198,0.12359912778800954,0.16119998718704626,1.0,0.10772403145011365,0.0833461461247496,0.08190265521092137,0.14655166729172336,-0.5007223946186639,0.005119644672159073,0.07829397592506215
months_from_movein,-0.12488899902657344,-0.10063397941329594,0.20258345191478097,0.19304324964432312,0.16415417219680814,0.2212195443710868,0.19351412260199374,0.14699496443552937,0.12059093271790121,0.12220704093794435,0.07747425625732411,0.09581367113578736,0.21788147135419622,0.10772403145011365,1.0,0.10980642686055912,0.10083975716276651,0.23061393704666672,-0.35966980351201183,-0.11478635579355298,-0.03449507480746906
months_waiting,-0.001590797614486348,-0.075506669798308,0.10481726993393008,0.10133824807507928,0.11442056571223821,0.08283336945493558,0.08838698228684032,0.008424871588859016,0.04513860037607855,0.041152425345837955,0.01096104357525972,0.02082158997309395,0.001966940237889527,0.0833461461247496,0.10980642686055912,1.0,0.09850121597125115,0.11412353413918724,-0.241143299852007,-0.049507981387477126,0.07201482741262144
pct_utility_allow,-0.03086326363192289,0.25901036999146604,0.06720939529912572,0.04521958078003658,-0.007845430525255985,-0.053811737565795756,-0.06546714284223797,-0.08503137844310443,-0.1936760010495376,-0.12690034722082766,-0.18895368309659183,-0.1841596315168734,-0.016138676625230705,0.08190265521092137,0.10083975716276651,0.09850121597125115,1.0,-0.11668539612356939,-0.2811716041106116,-0.20970273170961304,-0.0071067465636624316
PrincipalComponent1,-0.15383328393939433,-0.30782327963191414,0.5508720337871506,0.7194458487519804,0.7971858170696972,0.7936312911392258,0.7578988503357527,0.7149015746218531,0.797518542243917,0.7759785816230438,0.803434249638907,0.8070541093718089,0.04741335086124719,0.14655166729172336,0.23061393704666672,0.11412353413918724,-0.11668539612356939,1.0,0.12833697264393537,0.16185392212891586,0.322354295979496
PrincipalComponent2,-0.18920035256827217,0.06614312468616122,-0.07482211072442617,0.14831122290117296,0.16021497285565997,0.18897255419453335,0.17809510640132825,0.19059656086074758,0.062353323822711075,0.14340796388073876,0.1368867622869033,0.12905661656417972,-0.6562525336084615,-0.5007223946186639,-0.35966980351201183,-0.241143299852007,-0.2811716041106116,0.12833697264393537,1.0,-0.04595870028157514,0.021472250676963553
PrincipalComponent3,0.32612870425844154,-0.4216364126681769,0.0039248429298536554,-0.22843896925408572,-0.2056575312057561,-0.23733464668021337,-0.2628414450232895,-0.2145808477058426,0.5180490143855999,0.45256037301509283,0.5591920602522485,0.5401490559182459,0.13790651480159152,0.005119644672159073,-0.11478635579355298,-0.049507981387477126,-0.20970273170961304,0.16185392212891586,-0.04595870028157514,1.0,0.3065296872922853
Class,-0.014372435362170654,-0.14456305119214247,0.2426875509446306,0.0518658248787086,0.10343182947554272,0.09332970510560845,0.07358871659824474,0.09519382447139535,0.2737717007563958,0.22023023706934264,0.26542071439207354,0.26198933516465456,-0.03921288934204804,0.07829397592506215,-0.03449507480746906,0.07201482741262144,-0.0071067465636624316,0.322354295979496,0.021472250676963553,0.3065296872922853,1.0
