fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
4709599999,444,527,608,835,838,510,514,676,836,998,NCNTY47095N47095,0
4709799999,444,479,608,832,961,510,514,676,892,1083,NCNTY47097N47097,0
4709999999,444,503,608,773,892,543,547,703,907,1061,NCNTY47099N47099,0
4710199999,444,527,608,885,1071,510,514,676,865,1155,NCNTY47101N47101,0
4710399999,446,469,611,839,842,547,585,676,960,1102,NCNTY47103N47103,0
4710599999,520,669,811,1057,1374,717,800,980,1287,1512,METRO28940M28940,1
4710799999,467,549,640,824,919,584,610,699,944,948,NCNTY47107N47107,0
4710999999,444,457,608,785,1010,547,582,676,905,1070,NCNTY47109N47109,0
4711199999,433,461,608,782,944,556,559,736,940,1153,METRO34980N47111,1
4711399999,500,566,687,948,1097,561,651,845,1160,1165,METRO27180M27180,1
4711599999,562,661,822,1084,1343,721,742,883,1148,1380,METRO16860M16860,1
4711799999,522,525,698,873,962,596,600,789,1005,1070,NCNTY47117N47117,0
4711999999,588,642,755,1099,1230,728,733,964,1329,1436,METRO34980N47119,1
4712199999,444,527,608,885,891,547,579,676,960,979,NCNTY47121N47121,0
4712399999,455,458,609,887,898,453,556,682,907,925,NCNTY47123N47123,0
4712599999,487,596,768,1056,1173,634,707,910,1293,1558,METRO17300M17300,1
4712799999,444,468,608,871,891,528,532,676,958,979,NCNTY47127N47127,0
4712999999,405,476,633,835,959,521,541,712,1011,1126,METRO28940N47129,1
4713199999,415,457,608,828,1042,480,557,676,845,917,NCNTY47131N47131,0
4713399999,444,457,608,761,914,540,544,676,913,917,NCNTY47133N47133,0
4713599999,397,472,608,761,891,518,522,676,929,979,NCNTY47135N47135,0
4713799999,444,468,608,761,891,511,532,676,836,979,NCNTY47137N47137,0
4713999999,473,561,745,950,1198,570,631,830,1079,1224,METRO17420M17420,1
4714199999,505,508,617,847,850,572,576,758,1035,1185,NCNTY47141N47141,0
4714399999,530,556,641,825,939,521,524,690,935,1051,NCNTY47143N47143,0
4714599999,461,542,721,906,1082,543,666,818,1066,1228,METRO28940N47145,1
4714799999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4714999999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4715199999,444,457,608,868,1071,532,535,676,913,917,NCNTY47151N47151,0
4715399999,562,661,822,1084,1343,721,742,883,1148,1380,METRO16860M16860,1
4715599999,576,596,710,988,991,674,706,840,1083,1163,NCNTY47155N47155,0
4715799999,631,707,835,1137,1331,694,792,912,1219,1404,METRO32820M32820,1
4715999999,446,471,626,783,945,486,551,725,920,1043,METRO34980N47159,1
4716199999,444,527,608,885,891,487,531,699,872,1196,METRO17300M47161,1
4716399999,453,479,636,836,914,524,546,702,920,1012,METRO28700M28700,1
4716599999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4716799999,631,707,835,1137,1331,694,792,912,1219,1404,METRO32820M32820,1
4716999999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4717199999,472,527,668,846,1000,609,648,781,997,1182,METRO27740M27740,1
4717399999,520,669,811,1057,1374,717,800,980,1287,1512,METRO28940M28940,1
4717599999,444,457,608,761,838,530,533,676,885,979,NCNTY47175N47175,0
4717799999,444,457,608,830,1071,539,543,714,895,1029,NCNTY47177N47177,0
4717999999,472,527,668,846,1000,609,648,781,997,1182,METRO27740M27740,1
4718199999,444,462,608,761,838,547,579,676,936,979,NCNTY47181N47181,0
4718399999,386,468,608,799,926,547,561,676,836,1009,NCNTY47183N47183,0
4718599999,444,468,608,833,838,563,566,720,890,976,NCNTY47185N47185,0
4718799999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4718999999,700,780,959,1274,1503,1079,1100,1253,1587,1975,METRO34980M34980,1
4800199999,550,613,723,949,1274,615,685,831,1164,1388,NCNTY48001N48001,0
