,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class,state_name,county_name
2566,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Osage County
2567,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Ozark County
2568,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Pemiscot County
2569,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Perry County
2570,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Pettis County
2571,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Phelps County
2572,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Pike County
2573,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Platte County
2574,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Polk County
2575,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Pulaski County
2576,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Putnam County
2577,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Ralls County
2578,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Randolph County
2579,34001,2,1,34,94,97,207,173,2950,17000,4950,7900,8,1865,9,8,-4,-0.8853710772238295,-0.42340100548333587,-0.2582057488783423,2,Missouri,Ray County
2580,34003,2,1,59,153,179,158,329,6200,31200,10400,17600,-16,1670,14,1,0,2.13205686146996,0.13826711969684677,1.9555700626909205,3,Missouri,Reynolds County
2581,34005,2,1,95,68,87,90,151,5300,22200,8900,14200,5,3871,-8,-27,1,0.41062457081502385,-0.664501181423845,1.7006184249809475,3,Missouri,Ripley County
2582,34007,2,1,95,68,87,90,151,5300,22200,8900,14200,-15,1444,7,0,2,0.4190989717847624,0.011261481404896091,1.5748404494128607,3,Missouri,St. Charles County
2583,34009,2,1,254,180,332,242,45,4800,27400,8000,12750,-20,786,-29,12,-3,1.7396649809531222,0.6646603296697465,0.46476931880539535,3,Missouri,St. Clair County
2584,34011,2,1,161,183,247,335,337,3060,18100,5750,9200,-15,1503,-8,8,-12,0.7491712807484672,0.5474231021686646,-1.0727177350562582,3,Missouri,Ste. Genevieve County
2585,34013,2,1,10,160,191,232,363,5000,20800,8300,17150,1,1645,10,32,-1,1.3552290580449347,-0.28653727959650954,0.8119258973587583,3,Missouri,St. Francois County
2586,34015,2,1,95,68,87,90,151,5300,22200,8900,14200,-6,1708,18,-3,-1,0.46163364344563623,-0.1540176095453173,1.571139992420192,3,Missouri,St. Louis County
2587,34017,2,1,459,433,453,492,580,6950,30700,11600,18500,-5,1133,2,-14,-8,6.011176801271674,0.8091627744227912,-0.2835327039384166,1,Missouri,Saline County
2588,34019,2,1,221,159,197,179,-4,7300,30200,12050,10300,14,1157,7,8,-3,2.0522121191393325,-0.18204184845346633,1.9390052297978884,3,Missouri,Schuyler County
2589,34021,2,1,125,117,249,201,114,5700,23800,9500,17150,-37,1382,15,6,-1,1.635129675558126,0.5247586251923538,1.339295029001084,3,Missouri,Scotland County
2590,34023,2,1,221,159,197,179,-4,7300,30200,12050,10300,-13,1199,5,-120,-2,1.9611893417803437,0.8218030733089282,2.114585599766911,3,Missouri,Scott County
2591,34025,2,1,141,74,74,135,54,6650,29600,11150,16150,-14,1578,14,3,-2,1.442608541711296,0.10024070328233037,2.572421028025433,3,Missouri,Shannon County
2592,34027,2,1,10,160,191,232,363,5000,20800,8300,17150,2,1171,1,27,0,1.320175464249399,-0.1570215236144646,0.8481755292106273,3,Missouri,Shelby County
2593,34029,2,1,141,74,74,135,54,6650,29600,11150,16150,-20,2069,10,6,0,1.433750414406978,0.03490536498140228,2.5617033581671502,3,Missouri,Stoddard County
2594,34031,2,1,59,153,179,158,329,6200,31200,10400,17600,-12,1158,13,-4,-1,2.1228318174430485,0.24610340250843402,1.9789982582446897,3,Missouri,Stone County
2595,34033,2,1,95,68,87,90,151,5300,22200,8900,14200,0,1242,17,3,-1,0.46028698696754855,-0.17102057818473226,1.5761931333583155,3,Missouri,Sullivan County
2596,34035,2,1,221,159,197,179,-4,7300,30200,12050,10300,-14,1931,11,13,-3,2.0531140581220213,0.07649194935469701,1.8651482099215337,3,Missouri,Taney County
2597,34037,2,1,10,160,191,232,363,5000,20800,8300,17150,-10,1902,15,-42,1,1.3282752188093565,0.08573436293432643,0.8993639167670385,3,Missouri,Texas County
2598,34039,2,1,10,160,191,232,363,5000,20800,8300,17150,-8,1875,11,-12,-1,1.332004232668975,0.00584461642583429,0.8685509508616048,3,Missouri,Vernon County
2599,34041,2,1,193,186,247,288,185,6150,23800,10300,17150,-4,1252,4,5,-2,2.454366223078648,0.15325017074721045,1.1386794316363686,3,Missouri,Warren County
2600,35001,8,1,109,105,118,137,158,2070,15200,5400,8750,11,947,16,15,-4,-1.0680511422257177,-0.2374741504120926,-1.234845186473728,2,Missouri,Washington County
2601,35005,8,0,129,44,51,50,-141,2070,4400,3450,5550,6,1223,9,-1,4,-3.2316853243797317,-0.4461151779488816,-1.4638761110752567,2,Missouri,Wayne County
2602,35006,8,0,94,95,59,-24,-84,2070,12200,3450,5550,5,2818,-21,-1,9,-2.98280614173827,-0.7704298289362966,-1.0419793029329787,2,Missouri,Webster County
2603,35009,8,0,41,121,155,132,182,2070,3200,3000,4800,2,557,9,19,2,-2.5445227601814775,-0.17190414873181203,-2.4120148475755983,2,Missouri,Worth County
2604,35013,8,1,144,76,92,118,90,2070,9900,3450,5550,-17,240,24,4,-2,-1.9435384448769333,0.2811835572449799,-1.8680786919940608,2,Missouri,Wright County
2605,35015,8,0,191,192,166,234,422,3360,19000,7050,11350,-11,1215,-13,-7,-14,0.3510923849540752,0.8674943952203248,-1.2069942349375322,3,Missouri,St. Louis city
2606,35017,8,0,61,38,59,69,165,2070,6800,3700,5950,-11,1111,3,-7,-10,-2.8468984495484357,0.4108398519085808,-1.5535498076448901,2,Montana,Beaverhead County
2607,35023,8,0,44,1,59,-10,178,2070,17900,3450,5550,3,-120,-3,-5,5,-2.780992427516427,0.01792066081827961,-0.89173873694623,2,Montana,Big Horn County
2608,35025,8,0,18,45,53,77,105,2070,18400,1850,2900,-28,626,-2,-3,-1,-3.0455047115322214,0.5255616870659575,-1.422145760418634,2,Montana,Blaine County
2609,35027,8,0,92,12,-38,-97,-6,2070,15800,5600,8950,37,1046,9,-6,2,-2.773449632724948,-0.8184537033067704,0.049676902167666334,2,Montana,Broadwater County
2610,35028,8,0,175,152,140,245,207,8150,39100,13650,17150,-13,-189,30,-4,-6,2.7768881158928704,0.8706454358238528,2.1782299803747764,3,Montana,Carbon County
2611,35029,8,0,26,36,59,3,132,2070,11500,3450,5550,-3,-396,-12,3,3,-3.048241171898067,0.23599894960686643,-1.1736364608641496,2,Montana,Carter County
2612,35031,8,0,130,34,59,133,66,2070,8800,3450,5550,-125,-12117,-57,-8,-86,-3.1271067963262023,8.087590651809117,-1.4210869876686048,0,Montana,Cascade County
2613,35033,8,0,50,-17,43,136,128,2070,2900,3450,5550,26,1689,11,0,0,-3.146537099308789,-0.7716740870533257,-1.6969804051533588,2,Montana,Chouteau County
2614,35035,8,0,-6,71,59,60,68,2070,3600,3450,5550,9,304,11,-6,-2,-3.2360935568124374,-0.0786469660551219,-1.5798113528369457,2,Montana,Custer County
